model_name	dataset_name	--seed	set_type	acc
birnn	SST-2	150	dev	0.8623853211009175
birnn	SST-2	100	dev	0.8646788990825688
birnn	SST-2	200	dev	0.8635321100917431
birnn	SST-2	151	dev	0.8646788990825688
birnn	SST-2	101	dev	0.8612385321100917
birnn	SST-2	201	dev	0.8635321100917431
birnn	SST-2	150	dev	0.8623853211009175
birnn	SST-2	200	dev	0.8635321100917431
birnn	SST-2	100	dev	0.8646788990825688
birnn	SST-2	151	dev	0.8646788990825688
birnn	SST-2	201	dev	0.8635321100917431
birnn	SST-2	101	dev	0.8612385321100917
birnn	SST-2	152	dev	0.8727064220183486
birnn	SST-2	202	dev	0.8589449541284404
birnn	SST-2	102	dev	0.8761467889908257
birnn	SST-2	153	dev	0.8589449541284404
birnn	SST-2	203	dev	0.8646788990825688
birnn	SST-2	103	dev	0.8635321100917431
birnn	SST-2	154	dev	0.8681192660550459
birnn	SST-2	104	dev	0.8600917431192661
birnn	SST-2	204	dev	0.8577981651376146
birnn	SST-2	155	dev	0.8589449541284404
birnn	SST-2	105	dev	0.8589449541284404
birnn	SST-2	205	dev	0.8623853211009175
birnn	SST-2	156	dev	0.8669724770642202
birnn	SST-2	206	dev	0.8555045871559633
birnn	SST-2	106	dev	0.8669724770642202
birnn	SST-2	157	dev	0.8681192660550459
birnn	SST-2	207	dev	0.8646788990825688
birnn	SST-2	107	dev	0.8692660550458715
birnn	SST-2	158	dev	0.8623853211009175
birnn	SST-2	108	dev	0.8658256880733946
birnn	SST-2	208	dev	0.8577981651376146
birnn	SST-2	159	dev	0.8658256880733946
birnn	SST-2	109	dev	0.8600917431192661
birnn	SST-2	209	dev	0.8692660550458715
birnn	SST-2	300	dev	0.856651376146789
birnn	SST-2	250	dev	0.8600917431192661
birnn	SST-2	350	dev	0.8600917431192661
birnn	SST-2	160	dev	0.8646788990825688
birnn	SST-2	110	dev	0.856651376146789
birnn	SST-2	210	dev	0.8646788990825688
birnn	SST-2	301	dev	0.8623853211009175
birnn	SST-2	251	dev	0.8612385321100917
birnn	SST-2	161	dev	0.8623853211009175
birnn	SST-2	351	dev	0.8681192660550459
birnn	SST-2	111	dev	0.8555045871559633
birnn	SST-2	211	dev	0.8646788990825688
birnn	SST-2	252	dev	0.856651376146789
birnn	SST-2	302	dev	0.8635321100917431
birnn	SST-2	162	dev	0.8738532110091743
birnn	SST-2	352	dev	0.8612385321100917
birnn	SST-2	112	dev	0.8600917431192661
birnn	SST-2	212	dev	0.8635321100917431
birnn	SST-2	253	dev	0.8727064220183486
birnn	SST-2	303	dev	0.8623853211009175
birnn	SST-2	163	dev	0.8646788990825688
birnn	SST-2	353	dev	0.8681192660550459
birnn	SST-2	113	dev	0.8520642201834863
birnn	SST-2	213	dev	0.8669724770642202
birnn	SST-2	254	dev	0.8589449541284404
birnn	SST-2	164	dev	0.8715596330275229
birnn	SST-2	304	dev	0.8600917431192661
birnn	SST-2	354	dev	0.8623853211009175
birnn	SST-2	214	dev	0.8715596330275229
birnn	SST-2	114	dev	0.8532110091743119
birnn	SST-2	255	dev	0.8635321100917431
birnn	SST-2	165	dev	0.8623853211009175
birnn	SST-2	305	dev	0.8646788990825688
birnn	SST-2	355	dev	0.8623853211009175
birnn	SST-2	215	dev	0.8600917431192661
birnn	SST-2	115	dev	0.8646788990825688
birnn	SST-2	256	dev	0.8658256880733946
birnn	SST-2	166	dev	0.8635321100917431
birnn	SST-2	306	dev	0.8612385321100917
birnn	SST-2	356	dev	0.8646788990825688
birnn	SST-2	116	dev	0.8646788990825688
birnn	SST-2	216	dev	0.8635321100917431
birnn	SST-2	257	dev	0.8635321100917431
birnn	SST-2	167	dev	0.8635321100917431
birnn	SST-2	307	dev	0.8669724770642202
birnn	SST-2	357	dev	0.8635321100917431
birnn	SST-2	117	dev	0.856651376146789
birnn	SST-2	258	dev	0.8577981651376146
birnn	SST-2	217	dev	0.8623853211009175
birnn	SST-2	168	dev	0.8600917431192661
birnn	SST-2	308	dev	0.8635321100917431
birnn	SST-2	358	dev	0.8669724770642202
birnn	SST-2	118	dev	0.8612385321100917
birnn	SST-2	259	dev	0.8623853211009175
birnn	SST-2	169	dev	0.8704128440366973
birnn	SST-2	218	dev	0.8577981651376146
birnn	SST-2	309	dev	0.8646788990825688
birnn	SST-2	359	dev	0.8623853211009175
birnn	SST-2	260	dev	0.8635321100917431
birnn	SST-2	170	dev	0.8681192660550459
birnn	SST-2	119	dev	0.8577981651376146
birnn	SST-2	219	dev	0.8623853211009175
birnn	SST-2	310	dev	0.8623853211009175
birnn	SST-2	360	dev	0.8623853211009175
birnn	SST-2	261	dev	0.8635321100917431
birnn	SST-2	171	dev	0.8612385321100917
birnn	SST-2	120	dev	0.8589449541284404
birnn	SST-2	220	dev	0.8669724770642202
birnn	SST-2	311	dev	0.8704128440366973
birnn	SST-2	262	dev	0.8646788990825688
birnn	SST-2	361	dev	0.8600917431192661
birnn	SST-2	172	dev	0.856651376146789
birnn	SST-2	121	dev	0.8646788990825688
birnn	SST-2	221	dev	0.8692660550458715
birnn	SST-2	312	dev	0.8681192660550459
birnn	SST-2	263	dev	0.856651376146789
birnn	SST-2	362	dev	0.8635321100917431
birnn	SST-2	173	dev	0.8577981651376146
birnn	SST-2	122	dev	0.8543577981651376
birnn	SST-2	222	dev	0.8623853211009175
birnn	SST-2	313	dev	0.8669724770642202
birnn	SST-2	264	dev	0.8646788990825688
birnn	SST-2	363	dev	0.8623853211009175
birnn	SST-2	174	dev	0.8646788990825688
birnn	SST-2	123	dev	0.8623853211009175
birnn	SST-2	314	dev	0.8600917431192661
birnn	SST-2	223	dev	0.8589449541284404
birnn	SST-2	265	dev	0.8612385321100917
birnn	SST-2	175	dev	0.8669724770642202
birnn	SST-2	364	dev	0.8635321100917431
birnn	SST-2	224	dev	0.8727064220183486
birnn	SST-2	124	dev	0.8612385321100917
birnn	SST-2	315	dev	0.8681192660550459
birnn	SST-2	266	dev	0.8612385321100917
birnn	SST-2	176	dev	0.8589449541284404
birnn	SST-2	365	dev	0.8612385321100917
birnn	SST-2	316	dev	0.8520642201834863
birnn	SST-2	125	dev	0.8589449541284404
birnn	SST-2	225	dev	0.8589449541284404
birnn	SST-2	267	dev	0.8646788990825688
birnn	SST-2	177	dev	0.856651376146789
birnn	SST-2	366	dev	0.8589449541284404
birnn	SST-2	317	dev	0.8658256880733946
birnn	SST-2	126	dev	0.8623853211009175
birnn	SST-2	268	dev	0.8623853211009175
birnn	SST-2	226	dev	0.8658256880733946
birnn	SST-2	178	dev	0.8600917431192661
birnn	SST-2	367	dev	0.8623853211009175
birnn	SST-2	127	dev	0.8577981651376146
birnn	SST-2	318	dev	0.8509174311926605
birnn	SST-2	269	dev	0.8623853211009175
birnn	SST-2	227	dev	0.8704128440366973
birnn	SST-2	179	dev	0.8646788990825688
birnn	SST-2	368	dev	0.8600917431192661
birnn	SST-2	270	dev	0.8577981651376146
birnn	SST-2	319	dev	0.8635321100917431
birnn	SST-2	128	dev	0.8646788990825688
birnn	SST-2	180	dev	0.8612385321100917
birnn	SST-2	228	dev	0.8669724770642202
birnn	SST-2	369	dev	0.8589449541284404
birnn	SST-2	271	dev	0.8543577981651376
birnn	SST-2	320	dev	0.8600917431192661
birnn	SST-2	129	dev	0.8600917431192661
birnn	SST-2	181	dev	0.8600917431192661
birnn	SST-2	229	dev	0.8646788990825688
birnn	SST-2	272	dev	0.8589449541284404
birnn	SST-2	370	dev	0.8509174311926605
birnn	SST-2	130	dev	0.8692660550458715
birnn	SST-2	321	dev	0.856651376146789
birnn	SST-2	182	dev	0.8646788990825688
birnn	SST-2	230	dev	0.8635321100917431
birnn	SST-2	273	dev	0.8623853211009175
birnn	SST-2	183	dev	0.8600917431192661
birnn	SST-2	371	dev	0.856651376146789
birnn	SST-2	131	dev	0.8600917431192661
birnn	SST-2	322	dev	0.8658256880733946
birnn	SST-2	231	dev	0.8623853211009175
birnn	SST-2	274	dev	0.8612385321100917
birnn	SST-2	184	dev	0.8646788990825688
birnn	SST-2	372	dev	0.8635321100917431
