dev,test
0.8513487,0.85902935
0.85480136,0.86293447
0.8564583,0.86393327
0.856904,0.86053437
0.85706955,0.86873776
0.85865146,0.8732218
0.85895586,0.8681987
0.8594432,0.8699379
0.85977554,0.86941177
0.86055243,0.87111795
0.8606437,0.86865145
0.86078006,0.87412804
0.86106676,0.8721924
0.8611396,0.8753
0.8612723,0.86799294
0.86155957,0.87148446
0.8616801,0.8686569
0.8617392,0.8696372
0.86251736,0.8708181
0.86269325,0.87528884
0.86271495,0.8741896
0.8628442,0.8709541
0.8628444,0.8749149
0.863462,0.8746527
0.863606,0.8767709
0.8636075,0.8649106
0.8636619,0.8695644
0.86372,0.86327827
0.86380047,0.86515605
0.86399305,0.87128884
0.8640922,0.86996466
0.86414915,0.8696081
0.86416143,0.8719626
0.8642813,0.8664725
0.8643762,0.8684662
0.86438805,0.869929
0.86442596,0.8739406
0.8645129,0.8707519
0.8647199,0.8699641
0.8647796,0.86933315
0.8648235,0.8758741
0.8648303,0.86768174
0.864895,0.8742858
0.86500144,0.87121654
0.86503816,0.87586206
0.8650763,0.87335
0.86508685,0.87017304
0.8651159,0.8739659
0.86528397,0.86934507
0.8653489,0.87003934
0.86539775,0.8714057
0.865449,0.8665182
0.86549914,0.8760861
0.86551654,0.8713512
0.8655337,0.8759182
0.8655969,0.8753075
0.8656672,0.86753464
0.86570483,0.8744425
0.8657116,0.8754413
0.8657425,0.8692321
0.86583126,0.87174696
0.86583674,0.8687988
0.86586773,0.8675185
0.8659064,0.87019134
0.86597914,0.86766773
0.86602104,0.8711342
0.8661112,0.87628853
0.8661119,0.86921144
0.86614585,0.88024765
0.8661715,0.87054414
0.8662058,0.87289596
0.8663702,0.87563646
0.8663722,0.8643748
0.8664483,0.8749886
0.8664572,0.87358195
0.866469,0.8740401
0.86656094,0.8699922
0.86665136,0.87453854
0.86665225,0.8697518
0.86670625,0.8698315
0.8667133,0.86881965
0.86675435,0.8735067
0.8667814,0.87197566
0.8668781,0.8712286
0.8668849,0.87147886
0.8669322,0.87177616
0.8669635,0.8728542
0.8670056,0.8689758
0.86715424,0.8738458
0.86718124,0.8706798
0.8671928,0.8758942
0.8671955,0.8732674
0.8672751,0.8730693
0.8672828,0.8769133
0.8673303,0.8751283
0.8673394,0.8715904
0.8674091,0.8661903
0.8674577,0.8758198
0.86746013,0.8739916
0.8674804,0.87246144
0.8675109,0.8734196
0.8675417,0.8673277
0.86755097,0.8683616
0.86757857,0.8734064
0.8676758,0.87224454
0.86771715,0.8741163
0.8677261,0.875578
0.86777353,0.87858087
0.86782575,0.8722476
0.86782813,0.8735871
0.8678373,0.8767516
0.8679229,0.8723767
0.8679338,0.8686166
0.86808604,0.87227434
0.86814845,0.87004834
0.868269,0.87062216
0.8683228,0.87533414
0.8683411,0.8727728
0.8684209,0.8684814
0.8684607,0.87046796
0.86849463,0.8707305
0.86852306,0.87775964
0.86857665,0.8720466
0.8685997,0.8635869
0.86862046,0.8747942
0.86873543,0.87476724
0.86873674,0.8697321
0.86880577,0.8740194
0.8688984,0.8741869
0.86892235,0.8676928
0.8689377,0.87113553
0.86896497,0.8727807
0.8689889,0.87865835
0.86900103,0.870129
0.86905617,0.8644463
0.86912984,0.8723476
0.8691439,0.87443566
0.8692221,0.87116224
0.8692444,0.8683703
0.8692674,0.87585515
0.8692774,0.8706535
0.86943114,0.87696546
0.8695905,0.87258685
0.86959165,0.87505895
0.8696402,0.8730429
0.86971766,0.8706437
0.8697438,0.87624705
0.86981565,0.8752265
0.86986256,0.8690552
0.8700437,0.8733294
0.8700634,0.8789902
0.8700716,0.8721726
0.8701022,0.8693408
0.8701704,0.8742228
0.8702925,0.86550415
0.87029284,0.8724703
0.8704008,0.87248486
0.8704401,0.8755784
0.8704839,0.8710281
0.87052995,0.87298506
0.8705814,0.87865216
0.8705836,0.8704771
0.87059987,0.8724154
0.8706358,0.8707071
0.87067366,0.8702108
0.87070775,0.8743058
0.8707819,0.8700701
0.8707942,0.87533045
0.8708086,0.8695247
0.870965,0.87101966
0.8709957,0.87501925
0.8710114,0.8765565
0.8710555,0.87119645
0.8710766,0.8696428
0.8711069,0.8644875
0.8711496,0.8708998
0.8711815,0.8799762
0.8712317,0.8745965
0.87125486,0.8737893
0.8712888,0.87147593
0.87132204,0.8727033
0.8713364,0.8748533
0.8713927,0.8711888
0.8714167,0.86742556
0.87147385,0.87753975
0.87164986,0.87331235
0.8716764,0.8681078
0.8717042,0.8761865
0.8717843,0.8714522
0.87180364,0.8654598
0.8718213,0.86663216
0.8719114,0.8733261
