dev,test
0.8716184,0.87603885
0.8748456,0.87675387
0.87596786,0.8804726
0.87626666,0.8767078
0.876273,0.8739113
0.87638247,0.88146687
0.8765908,0.88143826
0.87665725,0.874784
0.8767023,0.8816091
0.8768077,0.88189083
0.8769616,0.8803662
0.8770517,0.87838775
0.87713355,0.8828172
0.87718505,0.88167244
0.8773761,0.87987745
0.8774028,0.8754519
0.8774126,0.88264513
0.87741286,0.8814041
0.8774923,0.8820558
0.87757194,0.8810291
0.87757903,0.8782465
0.87765414,0.88136697
0.8777583,0.88208085
0.8777696,0.87868744
0.8779452,0.87719005
0.8780246,0.8807252
0.87808204,0.88195175
0.87821805,0.87779677
0.8782264,0.8825067
0.87833863,0.88232917
0.8783642,0.8777382
0.8784326,0.8764099
0.8784466,0.8770799
0.87850887,0.880034
0.87854415,0.87868124
0.8785919,0.8713244
0.8786,0.881539
0.87864196,0.8826161
0.87870085,0.8823289
0.87885517,0.88136196
0.87885696,0.8767876
0.8789083,0.87853706
0.87891555,0.8760064
0.8789384,0.87913746
0.8789403,0.87753415
0.8789701,0.88159937
0.8790067,0.87828004
0.8790165,0.88103443
0.87904966,0.87584335
0.8790705,0.87944776
0.87912565,0.879582
0.87913215,0.8730373
0.8791485,0.87782013
0.879159,0.8796564
0.8792017,0.8783659
0.87920237,0.8802518
0.8792214,0.8792938
0.87928873,0.873195
0.8793345,0.8827787
0.87938213,0.8798142
0.8793967,0.87560916
0.8793995,0.8803504
0.8794708,0.87824106
0.87950504,0.8825477
0.87952113,0.8825317
0.8795325,0.88248456
0.8795484,0.8826996
0.8796052,0.88066715
0.8796492,0.8832547
0.87965375,0.87786806
0.8796945,0.88144386
0.87972504,0.88116294
0.8797371,0.8840919
0.8797675,0.8785496
0.879823,0.87919325
0.8798533,0.87556285
0.8799457,0.8825009
0.8800255,0.8770173
0.88004607,0.87806875
0.88010854,0.87510693
0.88012487,0.8802926
0.8802398,0.88377523
0.88024026,0.88134867
0.88024783,0.8809032
0.88025635,0.8813587
0.8802695,0.8811204
0.8803166,0.8797104
0.8803386,0.8765732
0.88036275,0.88355154
0.88039005,0.87938505
0.8804692,0.8805718
0.8804778,0.87508476
0.88048345,0.8792271
0.8805407,0.8761086
0.8805482,0.8809778
0.8805642,0.8831394
0.88067514,0.8810469
0.88068134,0.8839314
0.88068634,0.8836346
0.880692,0.8792021
0.88071966,0.8794881
0.88071984,0.8829345
0.8807237,0.8804325
0.8808215,0.8838775
0.8808528,0.87781996
0.8808683,0.87741923
0.88090426,0.87877023
0.8809116,0.8848115
0.880925,0.8776636
0.8809306,0.8828272
0.88093346,0.8792018
0.88093925,0.8746248
0.88096297,0.87437236
0.8809646,0.8778188
0.8809668,0.8807407
0.88097316,0.8758861
0.8809871,0.87616897
0.8810161,0.883504
0.8810569,0.8801908
0.8810983,0.8789581
0.881116,0.8785646
0.8811419,0.87763083
0.88115364,0.87912035
0.8811668,0.8786699
0.88119143,0.8782423
0.88122994,0.87613803
0.8812636,0.88251084
0.88127106,0.88192594
0.8812982,0.8788632
0.8814247,0.8755881
0.8814464,0.88094336
0.88149655,0.8761186
0.88150364,0.8760239
0.8815341,0.8795896
0.8815624,0.87880117
0.88156945,0.87849283
0.88158035,0.8809431
0.88168466,0.8795315
0.88168484,0.88389575
0.88172364,0.88218707
0.8817983,0.87108177
0.88180494,0.88452387
0.88180566,0.87996435
0.8818338,0.87656033
0.88190854,0.8785869
0.88193566,0.8801985
0.88195366,0.8823423
0.8819706,0.88200474
0.88197464,0.880275
0.8820454,0.88162756
0.88204956,0.8803481
0.88205177,0.879552
0.8821129,0.87641877
0.8821262,0.87453145
0.8821472,0.87930423
0.8822641,0.88033545
0.8822675,0.8771834
0.8823014,0.884852
0.88233066,0.8756383
0.88235223,0.88379633
0.88242704,0.8821235
0.88243294,0.88001287
0.88248307,0.8731668
0.8825601,0.88307554
0.88257736,0.88532525
0.88281757,0.881996
0.8828415,0.88119555
0.88287365,0.8829002
0.8828926,0.87752146
0.8830819,0.88093185
0.8830922,0.88190234
0.883228,0.87520015
0.883238,0.8812012
0.8832822,0.8811979
0.8834055,0.880929
0.8834805,0.880318
0.8835309,0.8804908
0.88355666,0.87805206
0.8835659,0.88280565
0.88374364,0.8760183
0.88374466,0.87932134
0.884062,0.8803647
0.88430995,0.88227165
0.8843443,0.8808134
0.884353,0.8733997
0.88438606,0.87834615
0.8844446,0.88230205
0.88455737,0.8742016
0.8847232,0.87864953
0.8848142,0.88072544
0.885007,0.8836862
0.88538516,0.88061273
0.885401,0.882524
0.88544434,0.8791322
0.8858994,0.8797794
0.8866153,0.88043463
0.886654,0.8815973
0.88713574,0.8820091
0.8873578,0.87909204
0.88939244,0.8788239
